title,price,brand
"1:1 AIR FORCE 1
(genuinely 1:1, i have direct contact with factory and can confirm - however price is slightly higher due to legit materials being used:)",$28,NIKE
"1:1 AIR FORCE 1
(same as above!)",$28,NIKE
LJR BEST BATCH (ALL COLORS),$41,AIR JORDAN
LOWS BATCH (ALL COLORS),$31,AIR JORDAN
BUDGET LOWS,$25,AIR JORDAN
mid batch,$37,AIR JORDAN
MID BATCH,$46,AIR JORDAN
BEST BATCH (all colors),$60,AIR JORDAN
gx batch (WWTOP),$62.50,AIR JORDAN
"G batch
(SIMILAR QUALITY TO GX)",$54,AIR JORDAN
"BEST BUDGET BATCH
ON joyabuy!",$14.80,AIR JORDAN
kz batch (all colors),$29,AIR JORDAN
y3 batch (limited choices),$57,AIR JORDAN
jordan 6,$61,AIR JORDAN
jordan 11 (low & high),$39.50,AIR JORDAN
jordan 11 (low & high),$61,AIR JORDAN
jordan 12,$95,AIR JORDAN
jordan 13,$80,AIR JORDAN
BUDGET LOWS & HIGHS,$37+,AIR JORDAN
BEST BATCH LOWS ,$54,AIR JORDAN
M BATCH (ALL COLORWAYS),$66,NIKE
m batch (rare colorways),$52,NIKE
BEST BATCH to PRICE ratio,$31,NIKE
OFF WHITE (1-50),$39,NIKE
vt batch,$16,NIKE
SLIDES,$16,YEEZY
FOAMRUNNERS & slides,$23.50,YEEZY
"350
(best budget - not all sizes)",$20,YEEZY
350 (all sizes),$24,YEEZY
YEEZY BOOST 500,$41,YEEZY
YEEZY 500,$59,YEEZY
YEEZY BOOST 700 V2,$56,YEEZY
yeezy 700,$55,YEEZY
IDEK WHAT THESE ARE HAHA,$53,NIKE
stussy af1 (black & cream),$48,NIKE
af1 (SUPER BUDGET),$14.50,NIKE
af1 skeleton halloween,$58,NIKE
color changing af1,$33,NIKE
airmax 95,$35,NIKE
corteiz airmax 95s,$63,NIKE
corteiz airmax 95s,$35,NIKE
airmax 1,$41.50,NIKE
airmax 97,$40,NIKE
tns,$35,NIKE
vapormax flyknit,$38,NIKE
nike shox tl,$31,NIKE
nike air zoom football/soccer ,$44,NIKE
air more uptempo,$50,NIKE
nocta glide,$52,NIKE
ZOOM VEMEROS,$38,NIKE
THE 50 LOT (YH BATCH),$39,"NIKE , OFF-WHITE"
blazers,$80,"NIKE , OFF-WHITE"
OUT OF OFFICE,$54.60,"NIKE , OFF-WHITE"
990 V3,$48,NEW BALANCE
NB1906,$36,NEW BALANCE
2002R,$54,NEW BALANCE
NB550,$38,NEW BALANCE
NB327,$44,NEW BALANCE
530 sl miu miu,$62,NEW BALANCE
NB9060,$35.60,NEW BALANCE
MID bapestaS,$42,BAPESTA
1:1 BAPESTAS,$58,BAPESTA
BAPESTA SHARKFACE,$60.50,BAPESTA
B30,$41.50,DIOR
B30,$68,DIOR
b31,$86,DIOR
b33,$61,DIOR
B23 (HIGH & LOW),$48,DIOR
B57,$64,DIOR
alpha sandals,$48,DIOR
RAMONES,$63.50,RICK OWENS
JUMBO LACES,$68,RICK OWENS
ALEXANDER MCQUEEN,$52,ALEXANDER MCQUEEN
BALENCIAGA runners,$53,BALENCIAGA
balenciaga led,$111,BALENCIAGA
balenciaga slides,$29,BALENCIAGA
balenciaga TRACK 2.0,$69,BALENCIAGA
balenciaga,$101,BALENCIAGA
balenciaga,$103,BALENCIAGA
balenciaga,$54,BALENCIAGA
balenciaga,$49,BALENCIAGA
balenciaga,$98,BALENCIAGA
balenciaga,$83,BALENCIAGA
"louis vuitton trainers
(all colorways!)",$38.50,LOUIS VUITTON
LV SNEAKERS,$80,LOUIS VUITTON
LV SNEAKERS (MORE COLORS),$80,LOUIS VUITTON
"louis vuitton trainers
(budget batch)",$15.50,LOUIS VUITTON
louis vuitton waterfront mule slides,$27.50,LOUIS VUITTON
ADIDAS CAMPUS ORIGINALS,$28,ADIDAS
BAD BUNNY X ADIDAS CAMPUS,$54,ADIDAS
ADDIDAS,$26,ADIDAS
"samba wales bonner
(multiple colorways!)",$37,ADIDAS
"kyrie 5
(all colorways!)",$29,BASKETBALL SHOES
kobe 5/6/8,$60,BASKETBALL SHOES
skel top lows,$68,AMIRI
uggs (multiple choices),$28,UGG
uggs (multiple choices),$29,UGG
uggs (multiple choices),$30,UGG
uggs (multiple choices),$31,UGG
uggs (multiple choices),$32,UGG
clogs,$38,BIRKINSTOCKS
Black Peterson LOW,$23.50,MAISON MIHARA YASUHIRO
Converse Comme des Garçons,$27,CONVERSE
LAVIN CURB,$69,LANVIN
GUCCI,$78,GUCCI
GUCCI,$57,GUCCI
GUCCI,$57,GUCCI
GUCCI,$62,GUCCI
"ASICS Gel
(ALL COLORWAYS)",$47,ASICS
ASICS,$42,ASICS
CHANEL,$73,CHANEL
"TIMBS
(MULTIPLE COLORWAYS AND STYLES)",$50,TIMBERLANDS
LOAFERS,$24,LORO PIANA
PRADA,$39,PRADA